user_id,recall@3,recall@5,recall@10,recall@R,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@R
0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.23463936301137822,0.4367467095119258,0.6039071644781281,0.23463936301137822
1,0.15384615384615385,0.3076923076923077,0.5384615384615384,0.7692307692307693,0.0,0.5307212739772434,0.6608397947263839,0.6352557412688555,0.6905478049098035
2,0.25,0.5,0.875,0.625,1.0,0.7653606369886217,0.830419897363192,0.8483745848692114,0.6991144057079179
3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.2960819109658652,0.2960819109658652,0.2960819109658652,0.2960819109658652
4,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.16716045496620227,0.0
5,0.0,1.0,1.0,0.0,0.0,0.0,0.43067655807339306,0.43067655807339306,0.0
6,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.0,0.23463936301137822,0.3156484524795145,0.5199047926893633,0.35373388476247614
7,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.36048792943606295,0.0
8,0.0,0.3333333333333333,0.8333333333333334,0.5,0.0,0.0,0.27727342735504823,0.5471353879625743,0.3551755135728451
9,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.123151194370365,0.0
10,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.5714285714285714,1.0,0.7653606369886217,0.6843515475204855,0.7392674247768478,0.652553596282728
11,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.29769321486741446,0.0
12,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,0.23463936301137822,0.16958010263680806,0.40481094160655295,0.23535109180711322
13,0.375,0.5,0.875,0.75,1.0,1.0,0.8687949224876582,0.8954707052463012,0.8223538668023914
14,0.3,0.5,0.8,0.8,1.0,1.0,1.0,0.866947989864271,0.866947989864271
15,0.6,0.6,1.0,0.6,1.0,1.0,0.7227265726449519,0.9505310077117098,0.7227265726449519
16,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.2960819109658652,0.49818925746641285,0.49818925746641285,0.2960819109658652
17,0.25,0.5,0.75,0.5,0.0,0.2960819109658652,0.4144299250118475,0.553486104522623,0.4144299250118475
